,date,basis_factor_shift,profit_factor_shift,consumption_factor_shift,y
459,2017-04-11,163.0,941.0,25660.009,1
460,2017-04-12,215.0,712.0,26174.012,1
461,2017-04-13,148.0,710.0,24264.929,1
462,2017-04-14,11.0,734.0,23880.565,1
463,2017-04-18,103.0,736.0,20803.192,1
464,2017-04-19,-26.0,381.0,22370.285,1
465,2017-04-20,-91.0,391.0,22178.969,1
466,2017-04-21,-166.0,391.0,19875.045,0
467,2017-04-24,-248.0,274.0,24617.025,0
468,2017-04-25,-87.0,280.0,19755.105,1
469,2017-04-26,112.0,367.0,17569.062,1
470,2017-04-27,-150.0,278.0,22452.958,0
471,2017-04-28,-197.0,286.0,23527.444,0
472,2017-05-02,74.0,490.0,19279.948,0
473,2017-05-03,0.0,450.0,21802.419,0
474,2017-05-04,-140.0,387.0,19368.69,0
475,2017-05-05,-159.0,489.0,17658.6,0
476,2017-05-08,216.0,490.0,21323.248,1
477,2017-05-09,531.0,680.0,19853.912,1
478,2017-05-10,488.0,756.0,15129.665,1
479,2017-05-11,481.0,705.0,18352.258,1
480,2017-05-12,484.0,852.0,17115.498,1
481,2017-05-15,219.0,441.0,18487.022,0
482,2017-05-16,-231.0,-78.0,24817.198,0
483,2017-05-17,-162.0,-567.0,25121.471,0
484,2017-05-18,-108.0,145.0,25356.068,0
485,2017-05-19,311.0,358.0,24316.882,0
486,2017-05-22,249.0,526.0,25544.275,0
487,2017-05-23,390.0,494.0,18445.814,0
488,2017-05-24,357.0,660.0,18054.174,0
489,2017-05-25,171.0,846.0,16058.026,0
490,2017-05-26,248.0,805.0,15230.481,0
491,2017-05-31,373.0,831.0,13720.305,0
492,2017-06-01,637.0,563.0,20591.496,1
493,2017-06-02,776.0,851.0,19767.644,1
494,2017-06-05,680.0,720.0,21502.448,0
495,2017-06-06,746.0,899.0,19857.691,0
496,2017-06-07,765.0,933.0,19521.421,0
497,2017-06-08,693.0,953.0,19232.276,0
498,2017-06-09,394.0,997.0,20542.612,0
499,2017-06-12,451.0,869.0,19045.352,0
500,2017-06-13,773.0,989.0,20291.09,0
501,2017-06-14,873.0,1017.0,19314.715,1
502,2017-06-15,763.0,1083.0,18507.385,0
503,2017-06-16,859.0,1192.0,14197.401,1
504,2017-06-19,869.0,1402.0,18884.398,1
505,2017-06-20,758.0,1391.0,19478.917,0
506,2017-06-21,808.0,1455.0,18201.529,0
507,2017-06-22,764.0,1446.0,17947.134,0
508,2017-06-23,838.0,1504.0,15833.928,0
509,2017-06-26,716.0,1502.0,16092.262,0
510,2017-06-27,621.0,1442.0,23733.646,0
511,2017-06-28,794.0,1391.0,19800.299,0
512,2017-06-29,1104.0,1278.0,19727.346,1
513,2017-06-30,1116.0,1275.0,16937.809,1
514,2017-07-03,1004.0,1100.0,15710.708,1
515,2017-07-04,899.0,1232.0,18377.544,0
516,2017-07-05,892.0,1355.0,16675.868,1
517,2017-07-06,931.0,1354.0,13204.329,1
518,2017-07-07,968.0,1303.0,17370.32,1
519,2017-07-10,848.0,1178.0,19701.204,1
520,2017-07-11,721.0,1141.0,20385.791,1
521,2017-07-12,929.0,1361.0,21544.852,1
522,2017-07-13,734.0,1313.0,20790.745,1
523,2017-07-14,677.0,1397.0,20090.501,0
524,2017-07-17,591.0,1568.0,18738.775,0
525,2017-07-18,440.0,1524.0,20701.894,0
526,2017-07-19,323.0,1312.0,23428.699,0
527,2017-07-20,289.0,1252.0,24740.125,0
528,2017-07-21,314.0,1252.0,25158.631,0
